Meme ID,Template Name,Original (English),Translation
184,typical germany lover,Germany! <sep> always fun to watch,Deutschland! <sep> immer wieder schön anzuschauen
267,policeman,If you don't want to be shot by police <sep> Have you tried not attacking them?,"Wenn Sie nicht von der Polizei erschossen werden möchten <sep> Haben Sie versucht, sie nicht anzugreifen?"
246,typical germany lover,Is stopped twice from taking over Europe <sep> now controls the Euro-Zone,"Wurde zweimal daran gehindert, Europa zu übernehmen <sep> kontrolliert jetzt die Eurozone"
244,feminist cunt,I want full equality in physically tough jobs <sep> Women should have easier physical tests,Ich will volle Gleichberechtigung bei körperlich anstrengenden Berufen <sep> Frauen sollten leichtere körperliche Test machen müssen 
72,strict policeman,studies criminal justice <sep> police academy teaches him everything,studiert Strafrecht <sep> die Polizeiakademie bringt ihm alles bei
93,nice white girl,but jennifer lawrence was <sep> such a great katniss!,aber Jennifer Lawrence war <sep> so eine tolle Katniss!
42,angry muslim guy,stop! <sep> my beard tickles!,hör auf! <sep> mein Bart kitzelt!
206,obese american,i don't know much about russia <sep> because i don't speak spanish,ich weiß nicht viel über Russland <sep> weil ich kein Spanisch spreche
232,richarabclap,Akhmed El Codoor <sep> Approves this Picture,Akhmed El Codoor <sep> Genehmigt dieses Bild
226,arabic meme,Reeks of curry <sep> ,Stinkt nach Curry <sep> 
12,american pride eagle,Gets into Debt <sep> Starts spreading freedom,"Verschuldet sich <sep> Beginnt, Freiheit zu verbreiten"
55,privilege denying tranny,i'm more of a woman than you <sep> i had to fight to be a woman,"ich bin mehr Frau als du <sep> ich musste kämpfen, um eine Frau zu sein"
67,stern but honest chinese guy,You call it Chinese food <sep> we just call it food,Sie nennen es chinesisches Essen <sep> wir nennen es einfach Essen
225,confused muslim girl,When Mr. Greene talks... <sep> What does that even mean?!,Wenn Mr. Greene spricht... <sep> Was soll das überhaupt bedeuten?!
108,strict policeman,fun police <sep> be friends and kiss,lustige Polizei <sep> Freunde sein und küssen
173,like a jew,can't watch porn <sep> bans the internet,kann keine Pornos schauen <sep> verbietet das Internet
290,jesus christ,JESUS IS <sep> WATCHING YOU,JESUS <sep> BEOBACHTET DICH
