Meme ID,Template Name,Original (English),Translation
225,confused muslim girl,When Mr. Greene talks... <sep> What does that even mean?!,When Mr. Greene talks... <sep> What does that even mean?!
199,arabic meme,Alalalalalalallaah <sep> Thats the sound after masoud nuts in sultans sweet ass,Alalalalalalallaah <sep> Thats the sound after masoud nuts in sultans sweet ass
115,troll asian,I'm pretty damn happy <sep> about football,I'm pretty damn happy <sep> about football
60,asian college freshman,"oh shit, ribs on special <sep> diet starts tomorrow guys","oh shit, ribs on special <sep> diet starts tomorrow guys"
36,stereotypical indian telemarketer,when i try to duplicate your issue <sep> i get 'out of memory' error.,when i try to duplicate your issue <sep> i get 'out of memory' error.
47,privilege denying feminist,quit leaving the toilet seat up <sep> women use it down so you must put it down,quit leaving the toilet seat up <sep> women use it down so you must put it down
186,feministfrequently,I had a friend that got almost raped <sep> your argument is invalid,I had a friend that got almost raped <sep> your argument is invalid
53,privilege denying tranny,abortion? a womans issue? <sep> transmen need abortions too!,abortion? a womans issue? <sep> transmen need abortions too!
26,black kid,HOW I FEEL <sep> WHEN THE KIDS ARE ASLEEP,HOW I FEEL <sep> WHEN THE KIDS ARE ASLEEP
105,feministfrequently,no im not going in the kitchen <sep> can you help open this jar for me?,no im not going in the kitchen <sep> can you help open this jar for me?
289,angry muslim guy,It's racist to call me a goat humper <sep> Even though I hump goats,It's racist to call me a goat humper <sep> Even though I hump goats
205,scumbag police officer,Cops... <sep> Only laugh at their own jokes,Cops... <sep> Only laugh at their own jokes
265,privilege abusing white couple,Quality men believe in equality of women <sep> ,Quality men believe in equality of women <sep> 
98,strict policeman,Now where did she touch you <sep> think carefully it could be the last thing you ever say,Now where did she touch you <sep> think carefully it could be the last thing you ever say
58,advicejew,yeah yeah merry chrismas <sep> now bring me my free shit,yeah yeah merry chrismas <sep> now bring me my free shit
29,generic indian guy,you picked a good day to work from home... <sep> no one's here except me Kevin and Yaji !!!,you picked a good day to work from home... <sep> no one's here except me Kevin and Yaji !!!
171,germany pls,winter too cold <sep> summer too hot,winter too cold <sep> summer too hot
234,jewish dude,simmons <sep> is a good brother to us and loyal to our agendas,simmons <sep> is a good brother to us and loyal to our agendas
3,skeptical black kid,So you're telling me <sep> that Macbeth actually trusted three random witches.,So you're telling me <sep> that Macbeth actually trusted three random witches.
66,troll asian,"dad told me to be a doctor, so i did <sep> in anthropology","dad told me to be a doctor, so i did <sep> in anthropology"
97,obese american,There's nothing wrong with the way i look <sep> It's todays society that's wrong,There's nothing wrong with the way i look <sep> It's todays society that's wrong
123,sassy black woman,BRING ME TO MCDONALDS <sep> BEFORE I BEAT YOU,BRING ME TO MCDONALDS <sep> BEFORE I BEAT YOU
194,oppressive trans bro,TRANS WOMEN <sep> GET MORE MEDIA REPRESENTATION THAN I DO,TRANS WOMEN <sep> GET MORE MEDIA REPRESENTATION THAN I DO
125,sassy black woman,"DO NOT, <sep> STOP THIS TRUCK!","DO NOT, <sep> STOP THIS TRUCK!"
150,condescending christian,incredibly sexy <sep> equally annoying,incredibly sexy <sep> equally annoying
10,american pride eagle,took your LANGUAGE and improved it <sep> you are welcome,took your LANGUAGE and improved it <sep> you are welcome
15,sassy black woman,IVY <sep> 30 YEARS LATER,IVY <sep> 30 YEARS LATER
280,muslim immigrant,muslim does not equal to terroism <sep> we need peace with muslims,muslim does not equal to terroism <sep> we need peace with muslims
74,advicejew,my name is <sep> tony,my name is <sep> tony
145,typical germany lover,Hitler <sep> did nothing wrong,Hitler <sep> did nothing wrong
146,like a jew,Gets brilliant idea for a sequal <sep> someone loses schindler's list,Gets brilliant idea for a sequal <sep> someone loses schindler's list
214,y u so arab,who's SHOCKED <sep> by the RACISM ??,who's SHOCKED <sep> by the RACISM ??
122,y u so arab,father <sep> why do you not stop yelling at me,father <sep> why do you not stop yelling at me
14,sassy black woman,WHEN PEOPLE LEAVE THE DOOR OPEN <sep> OH NO YOU DIDNT !,WHEN PEOPLE LEAVE THE DOOR OPEN <sep> OH NO YOU DIDNT !
227,privilege denying feminist,there's no shame in nude photos <sep> stop humiliating women by releasing their nude photos,there's no shame in nude photos <sep> stop humiliating women by releasing their nude photos
191,mexicanotriste,Why would you <sep> eat my Guacamole?,Why would you <sep> eat my Guacamole?
140,condescending christian,fewer people coming to church. <sep> blames atheists.,fewer people coming to church. <sep> blames atheists.
116,troll asian,Asian Jerry asks where you go to create a meme <sep> uses it against you...such an asshole!,Asian Jerry asks where you go to create a meme <sep> uses it against you...such an asshole!
192,privilege denying feminist,"society's Gender roles are ignorant and wrong! <sep> tells you to ""man up and grow some balls""","society's Gender roles are ignorant and wrong! <sep> tells you to ""man up and grow some balls"""
121,transvestite trevor,don't worry <sep> i can be nathan too,don't worry <sep> i can be nathan too
252,good chinese student,im lizzie <sep> it was my birthday and ill milk it for all its worrth,im lizzie <sep> it was my birthday and ill milk it for all its worrth
155,privilege denying tranny,"surprise! <sep> geoff monday through friday, but georgia on the weekends","surprise! <sep> geoff monday through friday, but georgia on the weekends"
294,nia china,When you look back in life <sep> and you feel fulfilled,When you look back in life <sep> and you feel fulfilled
100,mexicanotriste,WHY DO I HAVE A .. <sep> BABY DICK,WHY DO I HAVE A .. <sep> BABY DICK
68,asian college freshman,My sister took 4 years to graduate high school <sep> i will not shame the family like her,My sister took 4 years to graduate high school <sep> i will not shame the family like her
63,good chinese student,"oh no i need to pay my hospital bills <sep> joke, canada has free universal health care!","oh no i need to pay my hospital bills <sep> joke, canada has free universal health care!"
220,confused muslim girl,When Crosby gets shot and you're not even invited <sep> ,When Crosby gets shot and you're not even invited <sep> 
293,nia china,"athletic scholarship this, athletic scholarship that <sep> who's really getting paid here?","athletic scholarship this, athletic scholarship that <sep> who's really getting paid here?"
285,obese american,hates big government <sep> collects disability benefits,hates big government <sep> collects disability benefits
178,indian father,how dare you... <sep> Krishna is not to be mocked,how dare you... <sep> Krishna is not to be mocked
114,transvestite trevor,IT'S A TRAP!!! <sep> ,IT'S A TRAP!!! <sep> 
73,typical germany lover,hears friend mention germany <sep> bore friend to death with info about germany,hears friend mention germany <sep> bore friend to death with info about germany
17,sassy black woman,YOU AIN'T GETTIN' NO FRIED CHICKEN <sep> TILL' YOU FINISH ALL  YOUR COOL-AID,YOU AIN'T GETTIN' NO FRIED CHICKEN <sep> TILL' YOU FINISH ALL  YOUR COOL-AID
13,american pride eagle,SEES COMMENTS ON YOUTUBE VIDEO OF NON-SPEAKING ENGLISH COUNTRY <sep> ENGLISH PLEASE,SEES COMMENTS ON YOUTUBE VIDEO OF NON-SPEAKING ENGLISH COUNTRY <sep> ENGLISH PLEASE
120,condescending christian,Things aren't going our way <sep> help! we're being persecuted!!!,Things aren't going our way <sep> help! we're being persecuted!!!
185,richarabclap,MANCHESTER CITY <sep> A LOCAL CLUB FOR LOCAL FANS,MANCHESTER CITY <sep> A LOCAL CLUB FOR LOCAL FANS
27,black kid,THIS IS ME <sep> WHEN I HEARD YOUR BROTHER IS SINGLE,THIS IS ME <sep> WHEN I HEARD YOUR BROTHER IS SINGLE
241,mexicans on a truck,kerry transporting <sep> America's newest arrivals,kerry transporting <sep> America's newest arrivals
210,oppressive trans bro,Don't like what you see? <sep> Don't bend over in front of me,Don't like what you see? <sep> Don't bend over in front of me
271,privilege abusing white couple,I love you so much I put you in my <sep> long term memory,I love you so much I put you in my <sep> long term memory
106,jewish dude,not getting abused by reddit <sep> feels discriminated against,not getting abused by reddit <sep> feels discriminated against
132,privilege abusing white couple,friends a black man on facebook <sep> he seems very articulate,friends a black man on facebook <sep> he seems very articulate
87,strict policeman,You have the right to remain silent <sep> Everything you say can an will be turned into a meme,You have the right to remain silent <sep> Everything you say can an will be turned into a meme
109,feministfrequently,"If you can't outargue a Man <sep> Just scream about ""Privilege.""","If you can't outargue a Man <sep> Just scream about ""Privilege."""
46,angry muslim guy,God is allmighty <sep> But I'll beat the wife myself,God is allmighty <sep> But I'll beat the wife myself
275,scumbag catholic priest,Show your hate for healthy sex <sep> Become a priest today!,Show your hate for healthy sex <sep> Become a priest today!
255,mexicans on a truck,carpooling to Vegas <sep> For jaime's birthday,carpooling to Vegas <sep> For jaime's birthday
62,typical germany lover,adolf hitler <sep> was austrian,adolf hitler <sep> was austrian
137,american flag shotgun guy,Guess what <sep> its veterans day,Guess what <sep> its veterans day
207,transvestite trevor,So you admit <sep> To wearing women's clothing,So you admit <sep> To wearing women's clothing
49,asian college freshman,Indians are asian?! <sep> Since When?,Indians are asian?! <sep> Since When?
94,asian college freshman,can't think of what to reply.. <sep> *goes offline*,can't think of what to reply.. <sep> *goes offline*
19,successful mexican,I PASSED THE BORDER <sep> THATS WHY IM HAPPY,I PASSED THE BORDER <sep> THATS WHY IM HAPPY
235,policeman,The largest street gang <sep> in America,The largest street gang <sep> in America
200,mexicans on a truck,Heading to Ellie's <sep> Who's coming?,Heading to Ellie's <sep> Who's coming?
