Meme ID,Template Name,Original (English),Translation
275,scumbag catholic priest,Show your hate for healthy sex <sep> Become a priest today!,Muestra tu odio por el sexo sano <sep> ¡Hazte cura hoy mismo!
68,asian college freshman,My sister took 4 years to graduate high school <sep> i will not shame the family like her,Mi hermana tardó 4 años en graduarse de la secundaria <sep> no avergonzaré a la familia como ella
263,stern but honest chinese guy,The Linder-Green family should move to <sep> North Korea/DPRK,La familia Linder-Green debería mudarse a <sep> Corea del Norte/RPDC
279,angry muslim guy,Oh SO That's what <sep> A Woman's Ears Look like,"Oh, así que eso es lo que <sep> parecen las orejas de una mujer"
204,jesus christ,when hugging <sep> always leave room for jesus,Cuando abraces <sep> siempre deja espacio para Jesús.
192,privilege denying feminist,"society's Gender roles are ignorant and wrong! <sep> tells you to ""man up and grow some balls""","¡Los roles de género de la sociedad son ignorantes y equivocados! <sep> te dice ""hazte hombre y hazte crecer algunas pelotas"""
137,american flag shotgun guy,Guess what <sep> its veterans day,Adivina qué <sep> Es el día de los veteranos
201,bad advice asian,"#4 rule <sep> If he truly likes you, he'll forgive you.","Regla #4 <sep> Si realmente le gustas, te perdonará."
174,germany pls,showed this blog to my non-german friends <sep> they don't get it,le enseñe este blog a mis amigos que no son alemanes <sep> no lo entienden
130,privilege abusing white couple,global warming is really bad <sep> for property values on cape cod,El calentamiento global es realmente malo <sep> para el valor de las propiedades en Cape Cod
24,black kid,MITT ROMNEY <sep> IS GAY,MITT ROMNEY <sep> ES GAY
241,mexicans on a truck,kerry transporting <sep> America's newest arrivals,Kerry transportando <sep>  los recién llegados de América.
108,strict policeman,fun police <sep> be friends and kiss,Policía de la diversión  <sep> Sean amigos y bésense
88,nice white girl,why are black girls <sep> so loud?,¿Por qué las chicas negras <sep> son tan ruidosas?
42,angry muslim guy,stop! <sep> my beard tickles!,¡Alto! <sep> ¡La barba me hace cosquillas!
5,skeptical black kid,so your telling me <sep> the egyptians just left,entonces me estás diciendo <sep> los egipcios acaban de irse
178,indian father,how dare you... <sep> Krishna is not to be mocked,¿Cómo te atreves...? <sep> No te debes burlar de Krishna
46,angry muslim guy,God is allmighty <sep> But I'll beat the wife myself,Dios es todopoderoso <sep> pero yo me encargaré de la esposa yo mismo.
295,nia china,When your girlfriend knows your cycle <sep> and brings you a cooling kit,Cuando tu novia conoce tu ciclo <sep> y te trae un kit refrescante
66,troll asian,"dad told me to be a doctor, so i did <sep> in anthropology","papá me dijo que fuera médico, así que lo hice <sep> en antropología"
225,confused muslim girl,When Mr. Greene talks... <sep> What does that even mean?!,Cuando el señor Greene habla... <sep> ¡¿Qué significa eso?!
113,stern but honest chinese guy,You are good at the olympics <sep> but terrible at money management.,Eres bueno en los Juegos Olímpicos <sep> pero terrible en la administración del dinero.
260,mexicans on a truck,Headed to your house Cesar.. <sep> HAPPY BIRTHDAY HOMIE!!!,Rumbo a tu casa Cesar.. <sep> ¡¡¡FELIZ CUMPLEAÑOS HOMIE!!!
180,angry muslim guy,SEES UNACCEPTABLE MUSLIM MEME <sep> WISHES THEY COULD PROVIDE A BETTER MEME IN RESPONSE,VE UN MEME MUSULMAN INACEPTABLE <sep> DESEARÍA PODER OFRECER UN MEJOR MEME EN RESPUESTA
257,american flag shotgun guy, <sep> ain't scared of no tornado, <sep> no le teme a ningún tornado
28,black kid,OLD PIC OF JAY-Z <sep> <emp>,ANTIGUA FOTO DE JAY-Z <sep> <emp>
100,mexicanotriste,WHY DO I HAVE A .. <sep> BABY DICK,POR QUÉ TENGO UNA.. <sep> POLLA DE BEBÉ
93,nice white girl,but jennifer lawrence was <sep> such a great katniss!, ¡pero Jennifer Lawrence fue <sep>una gran Katniss!
120,condescending christian,Things aren't going our way <sep> help! we're being persecuted!!!,Las cosas no están saliendo como queremos <sep> Ayuda! Estamos siendo perseguidos!!!
87,strict policeman,You have the right to remain silent <sep> Everything you say can an will be turned into a meme,Tienes derecho a permanecer en silencio <sep> Todo lo que digas puede ser y será convertido en un meme
160,bad advice asian,"look at this... <sep> the moon, not my finger","mira ... <sep> la luna, no mi dedo"
175,sassy black woman,"Gets monthly food stamps from state, <sep> spends them on $10.99 a pound steaks","Recibe cupones de alimentos mensuales del estado, <sep> los gasta en filetes de $10,99 la libra"
6,skeptical black kid,so you're telling me <sep> i can play xbox 6 of the 7 days of the week?,así que me estás diciendo <sep> ¿Puedo jugar Xbox 6 los 7 días de la semana?
141,white power problems,"wants to defend ""white tradition"" <sep> lives in NY and eats at mcdonalds","quiere defender la ""tradición blanca"" <sep> vive en Nueva York y come en mcdonalds"
1,skeptical black kid,Hmmm... <sep> Fried chicken you say,"Hmmm... <sep> ¿Pollo frito, dices?"
181,scumbag police officer,DON'T TEXT AND DRIVE <sep> HAS LAPTOP INSTALLED IN CAR,NO ENVÍE MENSAJES DE TEXTO MIENTRAS CONDUCE <sep> TIENE UN ORDENADOR PORTÁTIL INSTALADO EN EL AUTO
31,generic indian guy,buys expensive guns <sep> cant afford shoes,compra armas caras <sep> no puede ppermitirse zapatos
217,american flag shotgun guy,THE UNIVERSE <sep> DOES NOT EXIST,EL UNIVERSO <sep> NO EXISTE
19,successful mexican,I PASSED THE BORDER <sep> THATS WHY IM HAPPY,YO CRUCE A LA FRONTERA <sep> POR ESO ESTOY FELIZ.
27,black kid,THIS IS ME <sep> WHEN I HEARD YOUR BROTHER IS SINGLE,SOY YO <sep> CUANDO ESCUCHÉ QUE TU HERMANO ESTÁ SOLTERO
220,confused muslim girl,When Crosby gets shot and you're not even invited <sep> ,Cuando disparan a Crosby y ni siquiera te invitan <sep> 
37,advicejew,SEE THIS HAT <sep> THRIFT STORE,MIRA ESTE SOMBRERO <sep> TIENDA DE SEGUNDA MANO
289,angry muslim guy,It's racist to call me a goat humper <sep> Even though I hump goats,Es racista llamarme follador de cabras <sep> Aunque realmente me folle cabras
215,white power problems,has difficulty finding work in retail <sep> blames reverse discrimination,tiene dificultades para encontrar trabajo en el comercio minorista <sep> culpa a la discriminación inversa
98,strict policeman,Now where did she touch you <sep> think carefully it could be the last thing you ever say,"Ahora dónde te tocó <sep> Piénsalo bien, podría ser lo último que digas."
189,scumbag catholic priest,Santa Claus doesn't exist <sep> is jesus who give you all those gifts,Santa Claus no existe <sep> Es Jesús quien te da todos esos regalos
287,angry muslim guy,When you realize <sep> That was you car,Cuando te das cuenta <sep> Ese era tu auto
208,scumbag police officer,tough drugs laws aren't working <sep> so it only makes sense if we make the laws TOUGHER,Las leyes duras contra las drogas no funcionan <sep> Por eso solo tiene sentido si hacemos que las leyes sean MÁS DURAS
229,confused muslim girl,When your engineering group is way smarter than you <sep> ,Cuando tu grupo de ingeniería es mucho más inteligente que tú <sep>
262,mexicans on a truck,the down fall of america <sep> without firing a shot,La caída de América <sep> sin disparar un tiro
152,muslim immigrant,but i said alvin is like my brother <sep> you must accept me,pero dije que alvin es como mi hermano <sep> debes aceptarme
95,success germany,How to get France and England mad at you <sep> in two easy steps,Cómo hacer que Francia e Inglaterra se enojen contigo <sep> en dos sencillos pasos
0,skeptical black kid,So You're telling me <sep> You eat too much and you want to lose weight?,Entonces me estás diciendo <sep> que comes demasiado y quieres perder peso?
38,advicejew,Call your mother <sep> so she can complain about your lack of calls,Llama a tu madre <sep> para que pueda quejar de tu falta de llamadas
245,oppressive trans bro,I got raped and got pregnant <sep> but i identify as male so its allright... also charmingly excentric,"Fui violada y quedé embarazada <sep> pero me identifico como hombre, así que está bien... también encantadoramente excéntrico."
75,obese american,That awkward moment when Mr. Madaris forgets his lunch at home <sep> ,Ese momento incómodo cuando el señor Madaris olvida su almuerzo en casa <sep>
80,stern but honest chinese guy,MAO OUR GREAT HERO <sep> KILLED 40-70 MILLION OF HIS OWN PEOPLE,MAO NUESTRO GRAN HÉROE <sep> MATÓ A 40-70 MILLONES DE SU PROPIA GENTE
34,generic indian guy,1 pound fish <sep> very very cheap,"Pescado a 1 libra <sep> muy, muy barato."
212,typical germany lover,KEEP CALM AND <sep> WATCH GERMANY WIN!!,MANTÉN LA CALMA Y <sep> ¡MIRA CÓMO GANA ALEMANIA!
67,stern but honest chinese guy,You call it Chinese food <sep> we just call it food,Tú lo llamas comida china <sep> nosotros simplemente lo llamamos comida
143,mexicanotriste,MADE IT THROUGH THE ANGLESEY BORDER <sep> NOT BAD,LO HIZO A TRAVÉS DE LA FRONTERA DE ANGLESEY <sep> NO ESTÁ MAL
256,white power problems,Aryan <sep> Never celebrated Nowruz,Ario <sep> Nunca celebró el Nowruz
116,troll asian,Asian Jerry asks where you go to create a meme <sep> uses it against you...such an asshole!,Jerry asiático pregunta dónde vas a crear un meme <sep> lo usa en tu contra... ¡qué idiota!
153,privilege denying feminist,if a man is raped <sep> his body can shut that thing down,Si un hombre es violado <sep> su cuerpo puede cerrar eso.
148,jewish dude,have you ever been <sep> with a jew?,¿Alguna vez has estado <sep> con un judío?
118,obese american,Are you going to <sep> eat that flag?,¿Te vas a comer <sep> esa bandera?
151,strict policeman,calls you a pedophile <sep> trades child porn on the internet,te llama pedófilo <sep> comercializa pornografía infantil en Internet
298,muslim immigrant,when the bomb goes off too early <sep> ALLAH YOU CUNTTTTT,cuando la bomba explota demasiado pronto <sep> ALLAH HIJO DE PERRA
273,transvestite trevor,I'm looking for Nikhil <sep> Can you find him please,Estoy buscando a Nikhil <sep> ¿Puedes encontrarlo por favor?
280,muslim immigrant,muslim does not equal to terroism <sep> we need peace with muslims,Musulmán no es sinónimo de terrorismo <sep> Necesitamos la paz con los musulmanes
282,policeman,Freeze! You're under arrest <sep> For producing non accessible material,¡Congelar! Estás detenido <sep> Por producir material no accesible
122,y u so arab,father <sep> why do you not stop yelling at me,padre <sep> ¿por qué no dejas de gritarme?
