Meme ID,Template Name,Original (English),Translation
7,skeptical black kid,so you're telling me <sep> you already adjusted our grades,所以你是说 <sep> 你已经调整了我们的成绩
143,mexicanotriste,MADE IT THROUGH THE ANGLESEY BORDER <sep> NOT BAD,成功穿越安格尔西岛边境 <sep> 还不错
233,jewish dude,you shall not <sep> access your favorite websites,您不可以<sep>访问您最爱的网站
210,oppressive trans bro,Don't like what you see? <sep> Don't bend over in front of me,不喜欢您所看到的吗？ <sep> 不要在我面前弯腰
197,scumbag police officer,"I know the lay better then you <sep> ""now bend over""",我比你更懂这个道理 <sep> “现在弯腰”
146,like a jew,Gets brilliant idea for a sequal <sep> someone loses schindler's list,为续集想出了绝妙的主意 <sep> 有人弄丢了辛德勒的名单
68,asian college freshman,My sister took 4 years to graduate high school <sep> i will not shame the family like her,我姐姐花了四年时间才高中毕业 <sep> 我不会像她那样给家人丢脸
147,privilege denying tranny,Special thanks to mr futch <sep> for funding the dragqueen eutopia,特别感谢 futch 先生 <sep> 为 dragqueen eutopia 提供资金
215,white power problems,has difficulty finding work in retail <sep> blames reverse discrimination,很难在零售业找到工作 <sep> 归咎于逆向歧视
55,privilege denying tranny,i'm more of a woman than you <sep> i had to fight to be a woman,我比你更像一个女人 <sep> 我必须努力才能成为一个女人
132,privilege abusing white couple,friends a black man on facebook <sep> he seems very articulate,在 facebook 上认识一位黑人 <sep> 他似乎很善于表达
104,success germany,lend greece own taxpayer money <sep> STILL GET CALLED A NAZI,借给希腊纳税人的钱 <sep> 仍然被称为纳粹
204,jesus christ,when hugging <sep> always leave room for jesus,拥抱时 <sep> 总是给耶稣留出空间
22,black kid,GIRLS THINK I'M SEXY <sep> <emp>,女孩认为我很性感 <sep> <emp>
193,privilege denying feminist,A man had some sort of emotion? <sep> time to belittle it and declare it misogynist,男人有某种情绪？ <sep> 是时候贬低它并称其为厌恶女性了
58,advicejew,yeah yeah merry chrismas <sep> now bring me my free shit,好好好圣诞快乐<sep>现在可以把赠品给我了吧
148,jewish dude,have you ever been <sep> with a jew?,你以前和<sep>犹太人在一起过？
20,successful mexican,MINORITY <sep> NOT AT METRO TECH!!,少数民族 <sep> 不在 METRO TECH!!
249,oppressive trans bro,transmisogynist? <sep> but I fuck trans women all the time!,跨性别厌恶者？ <sep> 但我一直在和变性女人做爱！
262,mexicans on a truck,the down fall of america <sep> without firing a shot,美国的衰落 <sep> 不费一枪一弹
50,feminist cunt,Equality for women!!! <sep> laughs at other feminists who think that men deserve the same,妇女平等！！！ <sep> 嘲笑其他认为男人也应该得到同样待遇的女权主义者
241,mexicans on a truck,kerry transporting <sep> America's newest arrivals,凯瑞运输<sep>美国最新款
105,feministfrequently,no im not going in the kitchen <sep> can you help open this jar for me?,不，我不去厨房 <sep> 你能帮我打开这个罐子吗？
111,bad advice asian,bring your dog <sep> we have chicken?,带上你的狗 <sep> 我们有鸡？
9,american pride eagle,"Support Our Troops, Motherfucker! <sep> Or we'll lock your ass up for tax evasion!!!",支持我们的军队，混蛋！ <sep> 否则我们会因逃税而把你关起来！！！
6,skeptical black kid,so you're telling me <sep> i can play xbox 6 of the 7 days of the week?,所以你是说 <sep> 我一周 7 天都可以玩 Xbox 6？
93,nice white girl,but jennifer lawrence was <sep> such a great katniss!,但詹妮弗·劳伦斯 <sep> 真是一个伟大的凯特尼斯！
37,advicejew,SEE THIS HAT <sep> THRIFT STORE,看看这顶帽子 <sep> 二手店
128,germany pls,"speak a language considered good for swearing in <sep> everyone says ""fuck""",说一种被认为适合咒骂的语言 <sep> 每个人都说“fuck”
255,mexicans on a truck,carpooling to Vegas <sep> For jaime's birthday,拼车去拉斯维加斯 <sep> 为 Jaime 庆祝生日
264,typical germany lover,Susanne Lang <sep> Probably the best Technical translator in Germany,苏珊娜 <sep> 可能是全德国最好的技术翻译
83,nice white girl,why can't i <sep> use the n word?,为什么我不能 <sep> 使用 n 字？
98,strict policeman,Now where did she touch you <sep> think carefully it could be the last thing you ever say,现在她碰了你哪里了 <sep> 仔细想想，这可能是你说的最后一句话
292,nia china,I am the king of china <sep> Inventer of vagina,我是中国之王 <sep> 阴道的发明者
130,privilege abusing white couple,global warming is really bad <sep> for property values on cape cod,全球变暖非常有害<sep>尤其是对德科角的房价
164,privilege denying feminist,women are an oppressed minority <sep> asians are not,女性是受压迫的少数群体 <sep> 亚洲人不是
291,nia china,well actually <sep> this is how you tie a tie,嗯，实际上 <sep> 打领带的方法如下
40,stereotypical indian telemarketer,"I do have your customer on the other line... <sep> Thank you for patiently holding, mr. derp",你的客户确实在另一条线上... <sep> 谢谢你的耐心等待，derp 先生
236,scumbag police officer,"85 in a 70? <sep> Oh, I didn't see that you're a beautiful blonde. Carry on ma'am",70 中的 85 ？ <sep> 哦，我没看出来你是个金发美女。继续说吧，女士
8,american pride eagle,I find lack of energy in this mail group <sep> very disturbing,我发现这个邮件组缺乏活力 <sep> 非常令人不安
224,confused muslim girl,When they ask Omar.. <sep> You are VEGETARIAN?!,当他们问奥马尔...... <sep> 你是素食主义者吗？！
138,american flag shotgun guy,SOUTH WILL <sep> RISE AGAIN,南部会<sep>再次崛起
256,white power problems,Aryan <sep> Never celebrated Nowruz,雅利安人 <sep> 从未庆祝过诺鲁孜节
35,generic indian guy,QUICK GIVE ME SOME <sep> CURRY!!!,快给我一些 <sep> 咖喱！！！
184,typical germany lover,Germany! <sep> always fun to watch,德国！ <sep> 总是很有趣
97,obese american,There's nothing wrong with the way i look <sep> It's todays society that's wrong,我的看法没有问题 <sep> 是当今社会的问题
95,success germany,How to get France and England mad at you <sep> in two easy steps,如何让法国和英国对你生气 <sep> 只需两个简单步骤
154,jesus christ,no where in the bible was there any homosexuality <sep> god does not support gays in the slighest,圣经里没有任何地方提到过同性恋 <sep> 上帝丝毫不支持同性恋
102,mexicanotriste,Did manual labor today <sep> Reminded me of you.,今天做了体力劳动 <sep> 让我想起了你。
64,asian college freshman,father says to marry his 3rd cousine <sep> actually does it,父亲说要娶他的三堂妹<sep>言出必行
295,nia china,When your girlfriend knows your cycle <sep> and brings you a cooling kit,当你的女朋友知道你的月经周期时 <sep> 并给你带来一个冷却套件
108,strict policeman,fun police <sep> be friends and kiss,有趣的警察 <sep> 成为朋友并亲吻
297,feministfrequently,When you finally realize <sep> you need more t-shirts,当你终于意识到 <sep> 你需要更多 T 恤时
250,mexicans on a truck,"Natives be like <sep> On our way to the state games,save us a spot.",当地人就像 <sep> 在去参加州运动会的路上，给我们留一个位置。
253,mexicans on a truck,we have to get across the border <sep> in time for the 2016 election,我们必须跨越边境 <sep> 赶上 2016 年大选
3,skeptical black kid,So you're telling me <sep> that Macbeth actually trusted three random witches.,所以你是说 <sep> 麦克白实际上相信了三个陌生的女巫。
167,bad advice asian,not my fault <sep> it was poorly designed,不是我的错 <sep> 设计很糟糕
135,bad advice asian,one kilo of chicken wings. <sep> ,一公斤鸡翅。 <sep> 
86,privilege denying tranny,HAS to put up with unfunny memes <sep> ridiculing her gender identity,必须忍受不好笑的表情包 <sep> 嘲笑她的性别认同
177,jewish dude,want to come <sep> with?,想来<sep> 一起吗？
42,angry muslim guy,stop! <sep> my beard tickles!,停止！ <sep> 我的胡子发痒了！
209,white power problems,this man <sep> does not own a mirror,这个人 <sep> 没有镜子
174,germany pls,showed this blog to my non-german friends <sep> they don't get it,向我的非德国朋友展示了这个博客 <sep> 他们不明白
92,mexicanotriste,"Uncle told me he misses you, adrian. <sep> come back to cuba.",叔叔告诉我他想念你，阿德里安。 <sep> 回到古巴。
