Meme ID,prompt,response,answer,hate_prediction
memes\zh\Advicejew\222,0,e: Assistant:a: Hate,a,1
memes\zh\Advicejew\222,1, b.Meme: Assistant:b,b,1
memes\zh\Advicejew\222,2,on.Meme: Assistant:a,a,1
memes\zh\Advicejew\222,3,on.Meme: Assistant:b,b,1
memes\zh\Advicejew\222,4,ly.Meme: Assistant:a,a,1
memes\zh\Advicejew\222,5,ly.Meme: Assistant:b,b,1
memes\zh\Advicejew\37,0,e: Assistant:a: Hate,a,1
memes\zh\Advicejew\37,1,e: Assistant:b: Hate,b,1
memes\zh\Advicejew\37,2,on.Meme: Assistant:a,a,1
memes\zh\Advicejew\37,3,on.Meme: Assistant:b,b,1
memes\zh\Advicejew\37,4,ly.Meme: Assistant:a,a,1
memes\zh\Advicejew\37,5,ly.Meme: Assistant:b,b,1
memes\zh\Advicejew\38,0,ssistant:b: Non-hate,b,0
memes\zh\Advicejew\38,1,ssistant:a: Non-hate,a,0
memes\zh\Advicejew\38,2,on.Meme: Assistant:a,a,1
memes\zh\Advicejew\38,3,on.Meme: Assistant:b,b,1
memes\zh\Advicejew\38,4,ly.Meme: Assistant:a,a,1
memes\zh\Advicejew\38,5,ly.Meme: Assistant:a,a,0
memes\zh\Advicejew\58,0, b.Meme: Assistant:b,b,0
memes\zh\Advicejew\58,1,e: Assistant:b: Hate,b,1
memes\zh\Advicejew\58,2,on.Meme: Assistant:a,a,1
memes\zh\Advicejew\58,3,on.Meme: Assistant:b,b,1
memes\zh\Advicejew\58,4,ly.Meme: Assistant:a,a,1
memes\zh\Advicejew\58,5,ly.Meme: Assistant:b,b,1
memes\zh\Advicejew\74,0,ssistant:b: Non-hate,b,0
memes\zh\Advicejew\74,1,ssistant:a: Non-hate,a,0
memes\zh\Advicejew\74,2,on.Meme: Assistant:a,a,1
memes\zh\Advicejew\74,3,on.Meme: Assistant:b,b,1
memes\zh\Advicejew\74,4,ly.Meme: Assistant:b,b,0
memes\zh\Advicejew\74,5,ly.Meme: Assistant:a,a,0
memes\zh\Advicejew\78,0, b.Meme: Assistant:a,a,1
memes\zh\Advicejew\78,1,e: Assistant:b: Hate,b,1
memes\zh\Advicejew\78,2,on.Meme: Assistant:a,a,1
memes\zh\Advicejew\78,3,on.Meme: Assistant:b,b,1
memes\zh\Advicejew\78,4,ly.Meme: Assistant:a,a,1
memes\zh\Advicejew\78,5,ly.Meme: Assistant:b,b,1
memes\zh\American-Flag-Shotgun-Guy\134,0,ssistant:b: Non-hate,b,0
memes\zh\American-Flag-Shotgun-Guy\134,1,ssistant:a: Non-hate,a,0
memes\zh\American-Flag-Shotgun-Guy\134,2,on.Meme: Assistant:b,b,0
memes\zh\American-Flag-Shotgun-Guy\134,3,on.Meme: Assistant:a,a,0
memes\zh\American-Flag-Shotgun-Guy\134,4,ly.Meme: Assistant:b,b,0
memes\zh\American-Flag-Shotgun-Guy\134,5,ly.Meme: Assistant:a,a,0
memes\zh\American-Flag-Shotgun-Guy\137,0, b.Meme: Assistant:b,b,0
memes\zh\American-Flag-Shotgun-Guy\137,1,ssistant:a: Non-hate,a,0
memes\zh\American-Flag-Shotgun-Guy\137,2,on.Meme: Assistant:b,b,0
memes\zh\American-Flag-Shotgun-Guy\137,3,on.Meme: Assistant:a,a,0
